,Name,Address,Website,Contact,Email,VC,VC_Phone,REG,REG_Phone
219,Deen Bandhu Chhotu Ram University of Sciences & Technology,"Murthal,Haryana-131039     Haryana -  ",http://www.dcrusm.org,0130-2484003/2484005  0130-2484004,"registrar@dcrustm.org,rkarora.dcrust@gmail.com",Dr. Har Sarup Chahal,0130-2484003,Sh. R.K. Arora,0130-2484005(O)
220,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur PIN - 273 009. (U.P.)    Uttar Pradesh -  ,http://www.ddugu.edu.in,  ,registrarddugu@gmail.com registrar@ddugu.edu.in,PROF. (DR.) PRAVIN CHANDRA TRIVEDI,0551-2201577,Shailesh Shukla,9455115050
221,Devi Ahilya Vishwavidyalaya,R.N.Tagore Marg  Indore     Madhya Pradesh - 452 001 ,http://www.dauniv.ac.in,0731-2524863/2580135/2580137  ,,,0731-2521887 2529476,Dr. Anil Sharma (Acting Registrar),"0731-2527532,2529540"
222,Dharmsinh Desai University,P.Box No. 35 College Road  Nadiad-387001    Gujarat -  ,http://www.ddit.ac.in,0268-2520502  2521007  0268-2520501,,Dr Harshad M Desai,,Prof T R Shah,
223,Dibrugarh University,Dibrugarh  PIN - 786 004. (ASSAM)    Assam -  ,http://www.dibru.ac.in,  ,,"Prof. Ranjit Tamuli,",0373-2370239,"Dr. Hari Chandra Mahanta,",0373-2370231
224,Doon University,Campus Office 388/2  Indira Nagar Dehradun   Uttarakhand -  ,http://www.gov.ua.nic.in/doonuniversity,0135-2533136  2533105  0135-2533115  2533110,registrardoon@gmail.com  ardoonuniversity@gmail.com,Dr.C.S.Nautiyal,0135-2533102  114,Dr.M.S.Mandrawal,"0135-2533105,115"
225,Dr. B.R.Ambedkar   University,Srikakulam  Etcherla Andhra Pradesh-532410    Andhra Pradesh-  ,http://www.brau.in,08942-240900  ,http://www.brau.in,Prof. H. Lajipathi Rai ,,Prof. V.Krishna Mohan,-290369
226,Dr. B.R.Ambedkar Open University,Jubilee Hills Hyderabad - 500 033.    Telangana-  ,http://www.braou.ac.in,040-23544910  27223810  23680211  27963627  040-23544830/23548433,open@braou.ac.in,Sri Vikas Raj  IAS,,Prof. A. Sudhakar ,040-23680202  23680212
227,Dr. B.R. Ambedkar University,Agra-282 004.     Uttar Pradesh -  ,http://www.brauagra.ac.in,2820051  2852118  2852136  ,info@dbrau.ac.in,Dr. Arvind Kumar Dixit,0562-252001,Sri. Kailash Nath Singh,0562-2850286
228,Dr. Babasaheb Ambedkar Marathwada University,University Campus  Near Soneri Mahal   Jaisingpura   Aurangabad    Maharashtra - 431004 ,http://www.bamu.net,2403400  2400431  2403199,,Prof B. A. Chopade,0240-2403111,Prof Sadhana Pande,
229,Dr. Babasaheb Ambedkar Open University,Jyotirmay Parisar  Dr Babasaheb Ambedkar Open University Marg  S.G. Highway  Chharodi  Ahmedabad   Gujarat - 382481 ,http://www.baou.edu.in/,  ,info@baou.edu.in,Prof Ami U Upadhyay,02717-298768,Dr MAheshprasad Trivedi,079-29796200
230,Dr. Babasaheb AmbedkarTechnological University,P.O. Goregaon Lonere-402103  Dt-Raigad.    Maharashtra -  ,http://www.dbatu.ac.in,  ,,,,,
231,Dr. Punjabrao Deshmukh Krishi Vidyapeeth,Krishinagar Akola - 444 104.    Maharashtra -  ,http://www.pdkv.mah.nic.in,0724-2258200  2258217,,Dr. R. G. Dani,0724-2258365,Dr. D. A. Bharati,0724-2258372
232,Dr. Ram Manohar Lohia Awadh University,Faizabad-224 001 (U.P)     Uttar Pradesh -  ,http://www.rmlau.ac.in,  ,,"Dr.V.K. Gupta	",246330,Mr.Ram Chandra Awasthi,245957
233,Dr. Ram Manohar Lohiya National Law University,"Sector-D-1,L.D.A.Kanpur Road Scheme Lucknow  U.P.    Uttar Pradesh -  ",http://www.rmlau.ac.in,  ,registrar@rmlnlu.ac.in  ,"Prof.	Gurdip Singh",+91-522-24 22 855,Mrs. Anita Misra ,+91 522- 2422840
234,Dr. Shakuntala Misra National Rehabilitation University,5th Floor  Administrative Building Mohaan Road  Lucknow   Uttar Pradesh - 226017 ,http://www.dsmru.up.nic.in,0522-2998380  ,Registrar@dsmnru.ac.in,Prof. Rana Krishna Pal Singh,0522-2999863,Shri Amit Kumar Singh,0522-2999862
235,Dr. Y.S.Parmar University of Horticulture & Forestry ,Nauni  Solan-173230 (H.P)     Himachal Pradesh -  ,http://www.yspuniversity.ac.in,01792-252357  252363  252343  252219  252365  01792-252242/252009,,Shri. Tarun Shridhar ,01792-252363  252609,Miss. Rupali Thakur ,01792-252219   252365
236,Dravidian University,Kuppam-517 425 Dist : Chitoor  A.P.    Andhra Pradesh-  ,http://www.dravidianuniversity.ac.in,08570-278236  ,,Prof Kankanala Rathnaiah ,08570-278236,Prof. P. Adinarayana Reddy,08570-278220 
237,Fakir Mohan University,Vyas Vihar   Nuapadhi   Balasore   Orissa - 756 020 ,http://www.fmuniversity.nic.in,06782-275768  ,registrarfmuniversity@gmail.com,Prof. Madhumita Das,06782-275768,Sri Amar Sing Soren,06782-275787
238,G.B.Pant University of Agriculture & Technology,Pantnagar Udham Singh Nagar-263 145 Uttarakhand   Uttarakhand -  ,http://www.gbpuat.ac.in,+91-5944-233320  233350  Fax: +91-5944-233473 ,,Dr. B. S. Bisht,91-05944-233333,Dr. J. Kumar,91-5944-233640
239,Gauhati University,Gopinath Bardoloi Nagar  Guwahati-781014 (Assam).    Assam -  ,http://www.gauhati.ac.in,  ,,Dr Mridul Hazarika,0361-2570412,Prof. N.G. Mahanta,
240,Univesity of Gour Banga ,N.H. 34  P.O. Mokdumpur Distt. Malda    West Bengal - 732103 ,http://www.ugb.ac.in,03512-223664 / 223666  ,E-mail: registrar@ugb.ac.in,Prof. Achintya Biswas,+91 3512-223666,Dr. Shyamsundar Bairagyay,+91 3512-223664
241,Gautam Buddha University,Greater Noida  Dist: Gautam Budh - Nagar  Uttar Pradesh- 201 308    Uttar Pradesh -  ,http://www.gbu.ac.in,0120-2344200  ,,Shri. Manjeet Singh ,,,
242,Goa University,Teleiogao Plateau  Goa - 403 206    Goa -  ,http://http://www.unigoa.ac.in/,0832-6519000/6519001  6519044  2451376  2425174  0832-2451184  2452889,,Prof Dileep N Deobagkar,,Dr Mohan M Sangodkar,
243,Gujarat Ayurveda University,Chanakya Bhavan  Jamnagar-361 008    Gujarat -  ,http://www.ayurveduniversity.edu.in,0288-2677324  2750912  2676854  2661188  0288-2555966/2555585,info@ayurveduniversity.com,Dr Medhavi Lal Sharma,0288-2557324,Dr R M Jhala,0288-2556852
244,Gujarat National Law University,"Attalika Avenue  Knowledge Corridor  Koba (Sub P.O) Gandhinagar,   Gujarat - 382426 ",http://www.gnlu.ac.in,91 - 79 - 23276611 /12  91-79-23276613/ 7878186624 (FAX),contact@gnlu.ac.in,Prof. (Dr) Bimal N. Patel (Director),91-79-23276611/12,Dr. Thomas Mathew,91-79-23276611/12
245,Gujarat Technological University,Gujarat Technological University Campus  Nr.Visat Three Roads  Visat - Gandhinagar Highway Chandkheda  Ahmedabad    Gujarat - 382424  ,http://www.gtu.ac.in,079-2630 0499   0599  ,info@gtu.ac.in,Prof. (Dr.) Navin Sheth,079-23267527,Prof. (Dr.) Shailesh D. Panchal,079-23267606
246,Gujarat University,P.B.No.4010  Navrangpura  Ahmedabad - 380 009.    Gujarat -  ,http://www.gujaratuniversity.org.i,079-27541392  55449002  27546767  27541288  079-27542547,,Dr Sudarshan Iyengar,,Dr Rajendra Khimani,
247,Gulbarga University,Jnana Ganga  Gulbarga  PIN - 585 106  KARNATAKA    Karnataka -  ,http://www.gulbargauniversity.kar.nic.ini,91-8472-263202  08472-263205  245927  245632  263206,root@guluni.kar.nic.in,Prof. E.T. Puttaiah  ,08472-263200  263201 ,Prof. Dayanand Agsar ,08472-263202 
248,Guru Angad Dev Veterinary & Animal Sciences University,Ferozepur Road  Ludhiana Punjab-141004    Punjab -  ,http://www.gadvasu.in,  ,,Dr Vijay Kumar Taneja ,+91-161-2553320  2553360,P.D.Juyal,+91-161-2553342  2553343
249,Guru Jambeshwar University of Science and Technology,HISAR - 125 001. HARYANA     Haryana -  ,http://www.gju.ernet.in,  ,,Dr. M.L. Ranga,01662-276192,Dr. R.S. Jaglan,01662-276025
250,Guru Nanak Dev University,Amritsar PIN - 143 005    Punjab -  ,http://www.gndu.ac.in,+91-183-2255711  ,,Professor Ajaib Singh Brar,0183-2258811  0183-2258822,Dr. INDERJIT SINGH,+91-183-2258802-09 Extn. 3019 
251,Hemchandracharya North Gujarat University,Rajmahal Road  Patan- 384 265. (GUJARAT)    Gujarat -  ,http://www.ngu.ac.in,02766-222745  220932  230743  02766-230529  233648  Fax-02766-231917,regi@ngu.ac.in,Dr. R.L. Godara,02766 230456,Dr. D.M. Patel,02766-230427  (O) Ext. 307
252,Hidayatullah National Law University,Raipur Chattisgarh-493661    Chhattisgarh-  ,http://www.hnlu.ac.in,"0771-3057603,604  ",,Prof. (Dr.) Sukh Pal Singh,,Dr. Dipak Das ,
253,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,"Palampur-176 062 (H.P.) Tehsil  Palampur,Dist.-Kangra    Himachal Pradesh -  ",http://www.hillagric.ernet.in,  ,,Dr. Shyam Kumar Sharma,91-1894-230521,Smt. Rupali Thakur,01894-230383 
254,Himachal Pradesh University,Summer Hills Shimla - 171 005. (HP)    Himachal Pradesh -  ,http://www.hpuniv.nic.in,91-177: 2830445  2830635  2830709  2830741  2831637  2831727  2831742  2831998  0177-2830775  2830912,vc_hpu@hotmail.com  vchpu@jla.vsnl.net.in  deanstudies@gmail.com  ,Prof. A. D. N. Bajpai ,0177-2831363,Prof. Mohan Jharta ,0177-2830912
255,Indira Gandhi Krishi Vishwavidyalaya,Krishak Nagar Raipur - 492 012.(Chattisgarh)    Chhattisgarh-  ,http://www.igau.edu.in,  ,,,,,
256,Indira Kala Sangeet Vishwavidyalaya,Khairagarh-491881.(Chattisgarh)     Chhattisgarh-  ,http://www.iksvv.com,(+91) 07820 - 234232  (+91) 07820 - 234727,reg@iksvv.com,Prof. Dr. Mandavi Singh,(+91) 07820 - 234534,Shri P.S. Dhruv,(+91) 07820 - 234232
257,Islamic University of Sciences & Technology University,"University Avenue,Awantipora Pulwama-192 122 Kashmir   Jammu and Kashmir -  ",http://www.islamicuniversity.edu.in,01933-247954  01933-247955,info@islamicuniversity.edu.in,Prof A.Rashid Trag,01933-247265,Prof M Amin Masoodi,"01933-247954,247955,09906664911"
258,Jadavpur University,Jadavpur University  Kolkatta  PIN - 700 032.   West Bengal -  ,http://www.jadavpur.edu,  ,,Prof. Souvik Bhattacharyya,"2414-6000,2457-2222",,
259,Jagadguru Ramanandacharya Sanskrit University,Village:Madau   Post :Bhankrota Jaipur-302026    Rajasthan-  ,http://www.jrrsanskrituniversity.ac.in,  ,jrrsu@yahoo.com,Prof. R. Devanathan,"0141	5132001",Sh. Satya Prakash,"0141	5132021"
260,Jai Naraim Vyas University,Jodhpur PIN - 342 001.(RAJASTHAN    Rajasthan-  ,http://www.jnvu.org,  ,http://www.jnvu.edu.in,"Dr. Lokesh K. Shekhawat
",0291  2432947,,
261,Jai Prakash vishwavidyalaya(university),Chapra  PIN- 841 301. (BIHAR)    Bihar -  ,http://jpv.bih.nic.in,[06152] - 243898  [06152] - 232607,,"Prof. Dwijendra Kumar Gupta,",(06152)-232607 ,Bijay Pratap Kumar,06152-233507
262,Jammu University ,Baba Saheb Ambedkar Road  Jammu Tawi - 180 004.    Jammu and Kashmir -  ,http://www.jammuuniversity.in,0191-2435248  2435259  2453544  2453588  ,,Prof. Manoj K. Dhar,0191-2450014,Dr. Meenakshi Kilam,0191- 2431365
263,Jawaharlal Nehru Krishi Vishwavidyalaya,Krishinagar Jabalpur-482 004.    Madhya Pradesh -  ,http://www.jnkvv.nic.in,0761-2681200  0761-2681608  0761-2353314 ,skjain_jnau@yahoo.com,Dr. Vijay Singh Tomar,0761 - 2681706  2681809,Rajesh Paliwal,0761-2681778
264,Jawaharlal Nehru Technological University,Kukatpally Hyderabad - 500 085. Andhra Pradesh   Telangana-  ,http://www.jntuh.ac.in, +91-040-2315 8661 to 2315 8664  ,,Prof. Rameshwar Rao,040- 32422254,"Dr. N.V. Ramana Rao,", 91-40-32422253(O)
265,Jawaharlal Nehru Technological University,Pithapuram Road  Kakinada Andhra Pradesh-533003    Andhra Pradesh-  ,http://www.jntuk.edu.in,0884-2300900  ,registrar@jntuk.edu.in  gvrp_raju@yahoo.com,Dr. G. Tulasi Ram Das,0884- 2300777  2300888,Dr. G.V.R. Prasada Raju,0884-2300900
266,Jawaharlal Nehru Technological University,Anantpur Andhra Pradesh -515002    Andhra Pradesh-  ,http://www.jntua.ac.in,  ,,Prof. K. Lal Kishore,08554-272438,Prof. K. Hemachandra Reddy, 08554-272433
267,Jiwaji University,Gwalior PIN - 474 001. (MP)    Madhya Pradesh -  ,http://www.jiwaji.edu,+91 751 2442712  ,,Prof. Mazaahir Kidwai,0751- 2442701  2341348,Dr. Anand Mishra,0751- 2341896  2341768  2442801
268,Kakatiya University,Kakatiya University  Warangal  Vidyaranyapuri  PIN - 506 009.   Telangana-  ,http://www.kakatiya.ac.in,"0870-2439966,2439977  ",b_venkatrathnam@yahoo.co.in,Prof. R. Saiyanna,0870-2439966,Prof. K. Purushotham,0870-2438866
269,Kalyani University,Kalyani     West Bengal -  ,http://www.klyuniv.ac.in,"091 033 2582-8220  2582-8293  2582-8750  2582-8378  2582-8286,2582-8275  2582-8478  2582-8889  2582-1254   091 033 2502 7562",,Professor (Dr.) Sankar Kumar Ghosh,033-2582-8690,Prof (Dr) Debansu Ray,"033-2502-5762,033 25828750 Ext.-245,091 033 2582 2505"
270,Kameshwar Singh.Darbhanga Sanskrit Vishwavidyalaya,Kamcshwar Nagar Darbhanga 846 008.(BIHAR)   Bihar -  ,http://www.ksdsu.edu.in,06272-222178   ,info@ksdsu.edu.in  n_mishra2k2@indiatimes.com  info@ksdsu.edu.in  vc@ksdsu.edu.in,Prof Dr. Sarvanarayan Jha,09454667316  8447975213,Con Navin Kumar,"993,455,507,207,633,000,000"
271,Karanataka  State Law University,Navanagar  Hubli-580025 Karnataka    Karnataka -  ,http://www.kslu.ac.in,0836-2222392   0836 2223392,kslu.registrar@gmail.com   ,Dr. T.R. Subramanya ,0836-2222079 ,Sri. Subhash K. Malkhede,0836-2222391 
272,Karanataka  State Open University,Manasangangotri Mysore-570006    Karnataka -  ,http://karnatakastateopenuniversity.in,0821-2500873  2519952     ,info@ksoumysore.net.in,Prof. D. Shivalingaiah,0821 – 2515149,Prof. Ramesh.B.,0821 – 2512471
273,Kannada University,Vidyaranya  Hospet Taluk Hampi (Dt. Bellary) 583276    Karnataka -  ,http://www.kannadauniversity.org,(08394) 241337  241334  241335  08394) 241334  241335  ,kanandauniversity@gmail.com  mail@kannadauniversity.org        ,Prof. H.C. Boralingaiah ,08394-241334 ,Prof. T. P. Vijay ,08394-241335
274,Kannur University,Mangattuparamba Distt- Kannur    Kerala - 670 567 ,http://www.kannuruiversity.ac.in,0497-2785200  2785222  2785335  0497-2782190,registrar@kannuruniversity.ac.in   cnn_knruty@sancharnet.in ,Prof. Gopinath Ravindran,0497-2782310  PBX : 2785252,Dr. Balachandran Keezhoth,0497-2768330   2715330
275,"Akkamahadevi women's  University (Formerly known as ""Karnataka State Women's University)",Vijayapur Karnataka-586101    Karnataka -  ,http://www.kswu.ac.in/,08352-229025   Fax : 08352-229057 ,registrar.kswub@gmail.com  ,prof. Sabiha,08352-229025 ,Prof. R Sunandamma,08352-229051 
276,Karanataka  University,Karnatak University  Pavate Nagar  Dharwad  PIN - 580 003.   Karnataka -  ,http://www.kud.ac.in,0836-2215252  ,vc@kud.ac.in,Dr. H.B.Walikar,0836-2744415,Prof. G B Nandan,
277,Karanataka Veterinary  Animal & Fisheries Science University ,"Nandinagar PB No.6,Bidar-585401(Karnataka    Karnataka -  ",www.kvafsu.kar.nic.in; www.kvafsu.edu.in  ,08482-245313; 245241   08482-245107/245241  ,hsmurthy05@yahoo.com; hsmurthy05@gmail.com,Dr. C.Renuka Prasad,,Dr. H.M. Jayaprakasha  ,08482-245241  200223
278,Kashmir University,Hazratbal  Srinagar  PIN - 190 006. (J & K)    Jammu and Kashmir -  ,http://www.kashmiruniversity.net,"0194-2420078  2420405  2420570  2421346  2424152  2429870   0194-2414074,2420408  2414087  2414124 ",info@kashmiruniversity.net,Prof.(Dr.) Talat Ahmad,2420078  2420405  2420570  2420571 24213,Prof. Zafar A. Reshi,91-194-2420078  2420405  242
279,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,"Prashashiya Bhawan  Mouda Road Ramtek-441106,Dist. Nagpur Maharashtra   Maharashtra -  ",http://www.sanskrituni.net,91-7114-255549  256476  ,unikalidas@yahoomail.com,Dr. Uma Vaidya,,,
280,Kerala University,Thiruvananthapuram - 695 0     Kerala -  ,http://www.keralauniversity.edu,"0471-2305738   0471-2305994 ,2306422 (16 Lines  91-471 2307158",ku.release@gmail.com,Dr. K.M. Abraham,0471-2306634,Dr.K. Mohammed Basheer,0471-2305631
281,Kerala Agricultural Unviersity,Vellanikkara  Thrissur - 680 654.    Kerala -  ,http://www.kau.edu,0487-2438011  0487-2370019,www.kau.edu,Prof. (Dr.) Rajendran P,0487-2438001,Dr. Mathew EK,0487-2438011
282,King Georges Medical University,Lucknow  U.P.     Uttar Pradesh - 226003 ,http://www.kgmcindia.edu,+91 522 2257450  2257451  2257452  2257453  ,info@kgmcindia.edu,Prof. (Dr.) Ravi Kant,"+91 522-2257540,522-2258296 ",Dr Shailendra Kumar,+91 522 2258365
283,Kolhan University ,Chaibasa  West Singhbhum  Jharkhand    Jharkhand -  ,www.kalhanuniversity.in,91-6582-255274   91-6582-255274 ,info@kolanuniversity.org ,Dr. Salil Kumar Roy,06582-255280,Dr. Kumaresh Chandra Dey,06582-255274
284,Konkan Krishi Vidyapeeth,Dapoli  District Ratnagiri    Maharashtra -  ,http://www.dbskkv.org,  ,,Dr. Kisan E. Lawande,02358-282064,,02358-282065
285,Krantiguru Shyamji Krishna Verma Kachchh University,CS-60  Jubilee Ground Bhuj-Kachchh  Gujarat    Gujarat -  ,http://kskvku.digitaluniversity.ac,  02832 - 235012/11,info@kskvkachchhuniversity.org   kachchhuniversi,Dr. Shashiranjan Yadav,02832 - 235001,Dr. B. S. Patel,02832 235002/08
286,Krishna Kanta Handique State Open University,"Last Gate,Dispur Guwahati-781 006 Assam   Assam -  ",http://www.kkhsou.in,0361-2234964  2235971  0361-2235398,"kkh_sou@yahoo.com ,info@kkhsou.in",Dr. Hitesh Deka,0361-2235642,Dr.Arupjyoti Choudhury,0361-2235971
287,Krishna University ,Andhra Jateeya Kalasala  Campus  Rajupeta Machllipatanam   Andhra Pradesh- 521001 ,http://www.krishnauniversity.ac.in,08672-225960  ,crskru@gmail.com,Prof. V. Venkaiah,08672-225960,Prof. D. Suryachandra Rao,08672-225963
288,Kumaun University,Nanital     Uttarakhand - 263001 ,http://www.kunainital.ac.in,05942-236856  ,,Prof D.K.Nauriyal,05942-235563,Sh. Sudhir Budakoti,05942-235563
289,Kurukshetra University,Kurukshetra  PIN - 136 119  (HARYANA)    Haryana -  ,http://www.kuk.ac.in,  ,,DR.DEVINDER DAYAL SINGH SAND,01744-238039,Dr. Praveen Kumar Saini,01744-238026
290,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Raipur (Chattisgarh)     Chhattisgarh-  ,http://www.ktujm.ac.in,0771-  2779202  6499184  6499187  ,kulsachiv@ktujm.ac.in,,,,
291,Kuvempu University,"Gnana Sahyadri,Dt.Shimoga PIN -577 451. KARNATAKA.    Karnataka -  ",http://www.kuvempu.ac.in,08282-256301 to 256307  FAX: 08282-256262  256255,ku@kuvempu.ac.in,Prof.Jogan Shankar,08282-256222,Prof.H.S.Bhoja Naik,08282-256221
292,Lalit Narayan Mithila University,Darbhanga PIN - 846 008. (BIHAR)    Bihar -  ,http://www.lnmu.in ,06272-222463  222186   ,vc@lnmu.in ,Prof. S.K. Singh,06272-222463,Col. Nisheeth Kumar Rai,06272- 222428
293,Lucknow University,Lucknow  PIN - 226 007.    Uttar Pradesh -  ,http://www.lkouniv.ac.in,9412244332, info@lkouniv.ac.in,Dr. S B Nimse,0522-2740467,Capt. Amitabh Prakash,0522-2740412
294,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,Chitrakoot District Satna    Madhya Pradesh - 485334 ,http://www.mgcgvchitrakoot.com,(07670) - 265413 / 265411  ,,Prof. Naresh Chandra Gautam,07670-265413,Dr. Ajay Kumar,07670-265411
295,M.J.P. Rohilkhand University,Doli Lal Agarwal Marg  Bareilly    Uttar Pradesh -  ,http://www.mjpru.ac.in ,  ,,,,,
296,M.P.Bhoj (open) University,Raja Bhoj Marg  Kolar Road  Bhopal   Madhya Pradesh - 462016 ,http://www.bhojvirtualuniversity.com,0755-2492090  2492091  ,directorit.mpbou@gmail.com,Prof (Dr) Jayant Sonwalkar,0755-2424660,Shri Arun Singh Chauhan,0755-2492093
297,Madaras University,Chepauk Chennai    Tamil Nadu -  ,http://www.unom.ac.in ,2539 9422  ,info@unom.ac.in,Prof. R.Thandavan,(044) - 2536 7563,Dr.G.Koteswara Prasad,(044) - 2536 1055
298,Madurai Kamraj University,Palkainagar  Madurai-625 021.(T.N.).    Tamil Nadu -  ,http://www.mkuniversity.org,0452-123456  ,mku@mkuniversity.org.,Prof. Dr. M. Krishnan,0452-2458471,Prof. Dr. V. Chinniah,0452-2459455
299,Magadh University,Bodhgaya  BIHAR    Bihar - 824 234 ,http://www.magadhuniversity.ac.in/,0631-2200572     0631-2200572   ,info@magadhuniversity.org,Dr. Prof. Mohammed Ishtiaq,,D.K Yadav  ,0631-2200490  
300,Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,B.M.birla Shodh Sansthan Parisar  Dewas Road  Ujjain Madhya Pradesh-456010   Madhya Pradesh -  ,http://http://mpsvvujjain.org,0734 - 2526044  0734-2524845,,Panditraj Acharya Mithilprasad Tripathi,,,
301,Maharahtra University of Health Sciences,Anand Valley  Gangapur Road Nashik-422 005    Maharashtra -  ,http://www.muhsnashik.com,(0253) 2539100 (0253) 2539100   2539300  ,,Dr. Arun V. Jamkar ,(0253) 2539114,Dr. Adinath N. Suryakar,0253)2539292
302,Maharaja Sayajirao University of Baroda ,Vadodara  Opp. Drug. Lab. PIN - 390 002. (GUJARAT)    Gujarat -  ,www .msubaroda.ac.in,  ,,"Prof. Ramesh K.Goyal 
",91-265-2795600,Dr. Milind M. Beedkar,91-265-2795521
303,Maharana Pratap University of Agriculture & Technology,P.O.Box-171   New Campus Udaipur-313001    Rajasthan-  ,http://www.mpuat.ac.in,  ,,Prof. O.P. Gill,0294-2471101  2470682,Dr. P.K. Gupta,0294-2471302
304,Maharashtra Animal & Fishery Sciences University ,High Land driv Road Seminary Hills  Nagpur-440 006    Maharashtra -  ,http://www.mafsu.in,"2511784,85  ",,PROF. A. K. MISRA,(0712) 2511282,Dr. S. K. Khilari,(0712) 2511273
305,Maharishi Dayanand Saraswati University,Pushkar Bye Pass Ajmer - 305 001    Rajasthan-  ,http://mdsuajmer.ac.in/,0145-2787056/058/412/414/413  ,registrarmdsu@gmail.com,Prof. Ram Pal Singh,0145-2787055,ANITA CHAUDHARY  RAS,0145-2787057
306,Maharishi Dayanand University,Rohtak PIN - 124 001. (HARYANA)    Haryana -  ,http://www.mdurohtak.ac.in,01262-274640  ,,PROF. B. K. PUNIA,01262-274327,DR. JITENDER K. BHARDWAJ,01262-274640
307,Mahatam Gandhi Kashi Vidyapeeth,Varanasi-221 002 (U.P)     Uttar Pradesh -  ,http://www.mgkvp.ac.in,  ,,Dr. Prithvish Nag,91 542-2225472,Sri Sahab Lal Maurya,0542-2222689
308,Mahatma Gandhi University ,"Panagal,Nalgonda-500 803 Andhra Pradesh    Telangana-  ",http://www.mguniversity.ac.in,  ,,"Smt. Shailaja Ramaiyar,IAS",08682-221901,Prof. K. Pochanna,
309,Mahatma Gandhi Unversity ,Kottayam  PIN - 686 560. (KERALA).    Kerala -  ,http://www.mgu.ac.in,0481–2731050 TO 2731068  ,vbsrikumar@mgu.ac.in,Dr. Sheena Shukkur,0481-2731005,Sri. M.R Unni ,0481-2731007  1203
310,Mahatma Phule Krishi Vidyapeeth,Rahuri Dt.Ahmednagar - 413 722.    Maharashtra -  ,http://www.mpkv.mah.nic.in,  ,,Dr. Tukaram Annapa More,(02426)-243208 ,,
311,Makhanlal Chaturvedi National University of Journalism & Communication,B-38  Vikas Bhavan  Press Complex   MP Nagar  Zone-1 Bhopal   Madhya Pradesh - 462 011 ,http://www.mcu.ac.in/,91-755-2551642  ,registrarmcu@gmail.com,Shri Deepak Tiwari,0755-2551531,Shri Deepender Singh Baghel,0755-2551642
312,Mangalore University,Mangalagaongothri Mangalore - 574 199.    Karnataka -  ,http://www.mangaloreuniversity.ac.in,0824-2287276  2287347    0824-2287367  2287424 ,contactus@mangaloreuniversity.ac.in  ,Prof. T. C. Shivashankara Murthy  ,0824-2287347  2888666,Prof. P.S.Yadapadithaya ,0824-2287276  2888667
313,Manonmaniam Sundarnar University,Tirunelvelli - 627 008.     Tamil Nadu -  ,http://www.msuniv.ac.in/,0462-2333741  ,registraroffice@msuniv.ac.in,Dr.K.Pitchumani,0462-2337231,Dr.S.Santhosh Baboo,0462-2338632
314,Marathwada Agricultural University,Parbhani - 431 402.     Maharashtra -  ,http://www.mkv2.mah.nic.in,  ,,Dr. K.P.Gore,02452-223002,,
315,Maulana Mazharul Haque Arabic & Persian University,3  Polo Road  Patna  800 006    Bihar -  ,http://mmhapu.bih.nic.in,"0612-2215750   0612-2215711,0612-2581333 ",mmhapupatna@yahoo.in,Prof. (Dr.) Ejaz Ali Arshad ,,Dr. S. M. Karim,
316,Mohan Lal Shukhadia University,Udaipur  RAJASTHAN)     Rajasthan- 313 001 ,http://www.mlsu.ac.in,0294-2470918  0294-2471035,registrar@mlsu.ac.in,Prof. J.P. Sharma,0294-2470597,Sh. Himmat Singh Bhati,0294-2470166
317,Mother Teresa Women's University,Ananda Giri IV Street  Kodaikanal  T.N. - 624 101.    Tamil Nadu -  ,http://www. motherteresawomenuniv.ac.in,0452 – 241685  ,,,04542-241021,,04542-241122
318,Mumbai University,M.G.Road  Fort  Mumbai - 400 032.    Maharashtra -  ,http://www.mu.ac.in,22708700,,,,,
319,Mysore University,Crawford Hall  Mysore - 570 005.    Karnataka -  ,http://www.uni-mysore.ac.in,0821-2419361  ,registrar@uni-mysore.ac.in,Prof. G. Hemantha Kumar,0821-2419666,Prof. Lingaraja Gandhi,0821-2419361
320,Nalanda Open University,3rd Floor  Biscomum Bhawan  West Gandhi  Maidan  Patna  Bihar-800001   Bihar -  ,http://www.nalandaopenuniversity.com   www.nou.ac.in  ,0612-2201013  2206916   0612-2201001 ,nalopuni@sancharnet.in nou@nou.ac.in ,Prof. (Dr.) R. B. P. Singh,,Dr. S. P. Sinha,
321,Narendra Deo University of Agriculture & Technology,Kumarganj  Faizabad - 224 229. (U.P)    Uttar Pradesh -  ,http://www.nduat.ac.in,  ,,Dr. R.S. Kureel,05270 262097,Dr. P.K. Gupta,05270 262035
322,National Academy of Legal Studies & Research University,Hyderabad     Telangana-  ,http://nalsar.ac.in,040-23498200 / 400  8418-245161 / 174 ,admissions@nalsar.ac.in   ,Prof. (Dr) Faizan Mustafa,040-23498102 ,Prof. Vijender Kumar,040-23498104/ 115
